match_id,competition_id,match_date,home_team_id,away_team_id,home_goals,away_goals,season
19749,37,2018-11-04,968,969,3,1,2018/2019
19750,37,2018-11-04,970,967,1,0,2018/2019
19751,37,2018-11-04,972,971,0,2,2018/2019
19752,37,2018-11-04,966,746,0,3,2018/2019
19753,37,2018-11-04,974,973,3,0,2018/2019
19754,37,2019-03-24,966,968,1,5,2018/2019
19755,37,2019-02-10,746,971,2,2,2018/2019
19756,37,2019-04-17,967,969,1,3,2018/2019
19757,37,2019-02-10,973,965,0,0,2018/2019
19758,37,2019-04-17,970,974,0,5,2018/2019
19759,37,2018-11-18,967,968,0,4,2018/2019
19760,37,2018-11-18,971,970,5,0,2018/2019
19761,37,2018-11-17,973,966,2,1,2018/2019
19762,37,2018-11-18,965,974,1,4,2018/2019
19763,37,2018-11-18,969,972,3,0,2018/2019
19764,37,2018-11-25,970,746,0,4,2018/2019
19765,37,2018-11-25,966,969,0,2,2018/2019
19766,37,2018-11-25,968,965,4,1,2018/2019
19767,37,2018-11-25,974,967,2,1,2018/2019
19768,37,2018-11-25,972,973,2,0,2018/2019
19769,37,2018-12-02,965,972,0,1,2018/2019
19770,37,2018-12-02,746,968,2,0,2018/2019
19771,37,2018-12-02,969,970,2,1,2018/2019
19772,37,2018-12-02,971,974,1,0,2018/2019
19773,37,2018-12-02,967,966,2,1,2018/2019
19774,37,2018-12-09,967,973,0,2,2018/2019
19775,37,2018-12-09,974,966,2,2,2018/2019
19776,37,2018-12-09,965,971,0,4,2018/2019
19777,37,2018-12-09,970,972,0,5,2018/2019
19778,37,2018-12-09,746,969,1,0,2018/2019
19779,37,2019-01-06,973,746,1,1,2018/2019
19780,37,2019-01-06,966,965,0,2,2018/2019
19781,37,2019-01-06,972,968,2,4,2018/2019
19782,37,2019-01-06,969,974,2,1,2018/2019
19783,37,2019-01-06,971,967,3,0,2018/2019
19784,37,2019-01-13,965,967,0,0,2018/2019
19785,37,2019-01-13,968,971,1,2,2018/2019
19786,37,2019-01-13,972,746,1,3,2018/2019
19787,37,2019-01-13,969,973,0,1,2018/2019
19788,37,2019-01-13,970,966,1,2,2018/2019
19789,37,2019-01-27,971,969,2,3,2018/2019
19790,37,2019-01-27,746,965,3,0,2018/2019
19791,37,2019-01-27,974,968,0,3,2018/2019
19792,37,2019-01-27,973,970,2,1,2018/2019
19793,37,2019-01-28,966,972,1,0,2018/2019
19794,37,2019-02-20,971,973,6,0,2018/2019
19795,37,2019-02-20,974,972,1,2,2018/2019
19796,37,2019-02-20,965,969,2,1,2018/2019
19797,37,2019-02-20,968,970,3,0,2018/2019
19798,37,2019-02-20,746,967,3,1,2018/2019
19799,37,2019-03-13,966,971,0,4,2018/2019
19800,37,2019-03-14,968,973,4,0,2018/2019
19801,37,2019-03-13,974,746,3,4,2018/2019
19802,37,2019-03-13,970,965,1,1,2018/2019
19803,37,2019-03-13,972,967,0,1,2018/2019
19804,37,2019-03-31,969,968,0,1,2018/2019
19805,37,2019-03-31,971,972,1,1,2018/2019
19806,37,2019-03-31,973,974,0,1,2018/2019
19807,37,2019-03-31,746,966,2,1,2018/2019
19808,37,2019-03-31,967,970,0,1,2018/2019
19809,37,2019-04-20,974,965,1,0,2018/2019
19810,37,2019-04-21,966,973,5,2,2018/2019
19811,37,2019-04-21,968,967,2,1,2018/2019
19813,37,2019-04-21,972,969,1,2,2018/2019
19814,37,2019-04-28,973,972,1,2,2018/2019
19815,37,2019-04-28,965,968,0,4,2018/2019
19816,37,2019-04-28,969,966,2,0,2018/2019
