team_id,team_name,country,stadium
627,Tenerife,Spain,Estadio Heliodoro Rodriguez Lopez
746,Manchester City WFC,England,Joie Stadium
749,Tottenham Hotspur Women,England,The Hive Stadium
759,Washington Spirit,United States of America,Audi Field
760,Seattle Reign,United States of America,Lumen Field
761,Chicago Red Stars,United States of America,SeatGeek Stadium
762,Houston Dash,United States of America,Shell Energy Stadium
763,NJ/NY Gotham FC,United States of America,Sports Illustrated Stadium
764,Orlando Pride,United States of America,Inter&Co Stadium
765,Portland Thorns,United States of America,Providence Park
766,North Carolina Courage,United States of America,WakeMed Soccer Park
767,Utah Royals,United States of America,America First Field
768,England,England,Wembley Stadium
769,Colombia,Colombia,State Farm Stadium
770,Germany,Germany,Allianz Arena
771,France,France,Ak Bars Arena
772,Spain,Spain,Olympiastadion Berlin
773,Switzerland,Switzerland,Al Janoub Stadium
774,Egypt,Egypt,Stade Felix Houphouet-Boigny
775,Nigeria,Nigeria,Stade Olympique Alassane Ouattara
776,Denmark,Denmark,Parken
777,Tunisia,Tunisia,Stade Amadou Gon Coulibaly
778,Japan,Japan,Sheikh Khalifa International Stadium
779,Argentina,Argentina,Lusail Stadium
780,Portugal,Portugal,Lusail Stadium
781,Brazil,Brazil,Estadio Jalisco
782,Belgium,Belgium,Saint-Petersburg Stadium ( Gazprom Arena )
783,Uruguay,Uruguay,MetLife Stadium
784,Peru,Peru,AT&T Stadium
785,Croatia,Croatia,Sheikh Khalifa International Stadium
786,Serbia,Serbia,Stadium 974
787,Senegal,Senegal,Stade Charles Konan Banny de Yamoussoukro
788,Morocco,Morocco,Stade Laurent Pokou
789,Poland,Poland,Education City Stadium
790,Sweden,Sweden,Saint-Petersburg Stadium ( Gazprom Arena )
791,South Korea,Korea (South),Education City Stadium
792,Australia,Australia,Al Janoub Stadium
793,Iceland,Iceland,Rostov Arena
794,Mexico,Mexico,NRG Stadium
795,Costa Rica,Costa Rica,Q2 Stadium
796,Russia,Russia,Saint-Petersburg Stadium ( Gazprom Arena )
797,Iran,"Iran, Islamic Republic of",Al Thumama Stadium
